date,txVolume(USD),adjustedTxVolume(USD),txCount,marketcap(USD),price(USD),exchangeVolume(USD),fees,activeAddresses,medianTxValue(USD),medianFee,paymentCount
2017-09-24,,,5,,,,0.699398,8,,0.170894,4
2017-09-25,,,8,,,,0.520637,16,,0.0,3
2017-09-26,,,1,,,,0.178761,4,,0.178761,1
2017-09-27,,,6,,,,0.683577,12,,0.1708065,3
2017-09-28,,,36,,,,2.245973,65,,0.0,12
2017-09-29,,,2487,,,,97.645858,4747,,0.0,548
2017-09-30,,,2528,,,,146.158702,4976,,0.0,823
2017-10-01,436003334.5370864,131169266.0383895,3096,0.0,0.021678,50068700.0,291.170785,5973,18065.296266,0.17107,1661
2017-10-02,1025157737.9568694,151391424.73981616,2943,596765346.7747957,0.024607,57641300.0,316.074603,5858,24206.767145,0.17107,1792
2017-10-03,604612406.4398379,125245327.84600528,1808,667797139.7124808,0.025757,16997800.0,182.280983,3701,21063.743716885012,0.17107,1018
2017-10-04,207884312.8242444,48658685.98929385,859,540954733.0022343,0.020864,9000050.0,59.948744,1769,16076.163862246913,0.0,335
2017-10-05,411326650.2749568,105546705.41995238,1193,569117180.3709339,0.021951,5562510.0,156.805239,2454,39520.616787821484,0.17107,882
2017-10-06,312314745.4551762,88156760.73050109,889,553779286.2358811,0.021359,7780709.999999999,114.499377,1844,67195.42438607007,0.17107,648
2017-10-07,185266331.5192368,52958699.34433629,671,477418796.67035955,0.018414,7411240.0,81.891164,1371,36179.109054,0.17107,460
2017-10-08,214142599.596651,66264825.00757267,679,542632959.3476095,0.020929,7727459.999999999,90.981593,1406,54499.9077244386,0.17107,521
2017-10-09,163939625.74489385,57131563.06003611,680,527453167.68743783,0.020344,4663310.0,87.836065,1460,30458.838149801533,0.17107,492
2017-10-10,211980536.3463458,64279716.382457964,660,573307371.8734847,0.022112,2725600.0,80.536581,1376,46343.116931403405,0.17107,460
2017-10-11,147429298.94300872,61110954.7733205,557,556901110.3108349,0.02148,3606719.9999999995,70.54622,1172,42745.99476,0.17107,399
2017-10-12,191961300.2421916,66928182.473032504,672,584346541.2853878,0.022538,8680640.0,86.246889,1411,46152.572646,0.17107,492
2017-10-13,243264094.95277882,90728018.35800312,782,675685385.3149431,0.026061,15613600.0,110.361223,1642,106924.70559300434,0.17107,625
2017-10-14,379080551.6842433,101997900.9817668,930,878302735.8309566,0.033876,27853200.0,142.220331,1944,699264.9618275227,0.171246,812
2017-10-15,280089467.0372439,86825379.134317,726,852315171.2978135,0.032874,7104990.0,104.520862,1450,663027.841216909,0.171246,593
2017-10-16,229827474.89789626,85276112.84096,626,776235927.407662,0.029939,6196030.0,93.112895,1311,569556.6993289398,0.171246,540
2017-10-17,305513404.2078856,94783780.93009324,669,750680263.2922806,0.028953,7039900.0,104.33597,1343,514046.8464891705,0.171246,603
2017-10-18,464452866.20578736,210134539.47896647,502,705701001.3854108,0.027219,2336180.0,78.68741,1042,446224.39048830594,0.171246,449
2017-10-19,206818645.13736072,129830627.40956728,536,692353930.3237644,0.026704,2897720.0,82.803862,1124,414421.2841985164,0.171246,470
2017-10-20,189373019.89498153,80659810.06738813,705,699559649.2742409,0.026982,8716410.0,111.994747,1477,394919.5680824177,0.171246,627
2017-10-21,154653813.89520362,55538537.82626814,578,798714952.3342946,0.030806,5344520.0,84.506958,1204,433132.63497698994,0.17107,486
